지점,지점명,일시,평균기온(°C),최저기온(°C),일강수량(mm),최대 풍속(m/s),일 최심신적설(cm),체감온도(°C)
98,동두천,2013-01-01,-5.8,-13.3,4.5,4.5,,-7.873635065
98,동두천,2013-01-02,-12.4,-16.4,0,6.5,,-16.55996487
98,동두천,2013-01-03,-14.4,-20.7,,5.1,,-17.99568139
98,동두천,2013-01-04,-13.6,-19.7,,2.7,,-14.98203114
98,동두천,2013-01-05,-10.4,-17.6,,2.6,,-11.39654567
98,동두천,2013-01-06,-9.3,-15.4,,2.9,,-10.51393269
98,동두천,2013-01-07,-8,-14.5,,2.1,,-8.226921529
98,동두천,2013-01-08,-7.2,-12.8,,4,,-9.112052392
98,동두천,2013-01-09,-10.8,-15.1,,4.1,,-13.20866762
98,동두천,2013-01-10,-10.5,-17.5,,4.2,,-12.9483444
98,동두천,2013-01-11,-4.9,-11,,2.5,,-5.340275853
98,동두천,2013-01-12,-0.8,-4.6,0.1,3.4,,-1.592207815
98,동두천,2013-01-13,-3.7,-7.1,,3,,-4.483538601
98,동두천,2013-01-14,-4.7,-9.9,,4.8,,-6.809900369
98,동두천,2013-01-15,-4.7,-10.8,,2.8,,-5.404536431
98,동두천,2013-01-16,-3.3,-6.5,0,3.8,,-4.628487807
98,동두천,2013-01-17,-6.8,-10.4,,3.3,,-8.133234599
98,동두천,2013-01-18,-6.5,-13.7,,3.5,,-7.962492123
98,동두천,2013-01-19,-1.4,-6.7,,4.5,,-2.919766455
98,동두천,2013-01-20,-0.4,-6.2,,2.2,,-0.207288615
98,동두천,2013-01-21,1.6,1.1,12.5,3.4,,1.056812391
98,동두천,2013-01-22,3.1,1.4,,2.4,,3.381021081
98,동두천,2013-01-23,1.4,0.7,1,3.7,,0.656888018
98,동두천,2013-01-24,-1.5,-7.6,1,8.1,,-4.533210911
98,동두천,2013-01-25,-9.6,-12,,7.1,,-13.61322487
98,동두천,2013-01-26,-9.9,-15,,5.2,,-12.94508249
98,동두천,2013-01-27,-8.7,-14,,4.7,,-11.27030465
98,동두천,2013-01-28,-5,-12.5,,3.4,,-6.227993177
98,동두천,2013-01-29,1.7,-0.6,0,1.3,,3.022045053
98,동두천,2013-01-30,4.3,1.6,,1.8,,5.174328124
98,동두천,2013-01-31,7,1.7,0,3.4,,7.017107856
98,동두천,2013-02-01,6.8,4.7,35.5,3.9,,6.562203429
98,동두천,2013-02-02,-0.7,-5.1,,5.3,,-2.524682569
98,동두천,2013-02-03,-4,-7.9,8.5,2.1,,-3.95501687
98,동두천,2013-02-04,-1,-5.4,2,6.6,,-3.415315872
98,동두천,2013-02-05,-2,-7.9,3,2.6,,-2.295172911
98,동두천,2013-02-06,-1.6,-5,1,4.8,,-3.303445371
98,동두천,2013-02-07,-11.3,-15.1,,7,,-15.54295132
98,동두천,2013-02-08,-12,-17,,4.9,,-15.13553614
98,동두천,2013-02-09,-8.7,-17.1,,3.4,,-10.31189933
98,동두천,2013-02-10,-4.7,-9.2,,6.6,,-7.699004195
98,동두천,2013-02-11,-6.6,-13.9,,2.5,,-7.177307176
98,동두천,2013-02-12,-4.9,-7.5,,4.7,,-6.978581825
98,동두천,2013-02-13,-2.8,-9.6,,4.9,,-4.71378944
98,동두천,2013-02-14,0.2,-5.6,,3.8,,-0.735026346
98,동두천,2013-02-15,-1.2,-5.8,,7.1,,-3.835154921
98,동두천,2013-02-16,-3.4,-10.2,,4.2,,-4.993915661
98,동두천,2013-02-17,0.9,-4.5,,3.3,,0.348010613
98,동두천,2013-02-18,0.7,-2.6,,4.8,,-0.701881986
98,동두천,2013-02-19,-2.9,-7.6,,6.3,,-5.4894821
98,동두천,2013-02-20,-5,-11.1,,4.8,,-7.149234724
98,동두천,2013-02-21,-2.5,-6.7,,5.3,,-4.575348069
98,동두천,2013-02-22,-0.2,-5.1,0.2,8.6,,-3.158992186
98,동두천,2013-02-23,-1.6,-8.1,,7.1,,-4.300777299
98,동두천,2013-02-24,-0.3,-6.4,,4.4,,-1.628843681
98,동두천,2013-02-25,1.8,-3.7,,2.4,,1.980117983
98,동두천,2013-02-26,2.6,-1.1,0,4.4,,1.630956162
98,동두천,2013-02-27,3.6,-0.9,,5.5,,2.296954296
98,동두천,2013-02-28,5.1,-2.4,0.5,5.4,,4.046455851
98,동두천,2013-03-01,1.4,-2.2,2.5,8.1,,-1.123924125
98,동두천,2013-03-02,-0.5,-4.8,,5.5,,-2.38662442
98,동두천,2013-03-03,0.3,-4.6,,4.8,,-1.154327792
98,동두천,2013-03-04,2.8,-2.9,,6,,1.19414718
98,동두천,2013-03-05,2.8,-3.7,,5.9,,1.230847726
98,동두천,2013-03-06,6.9,-1.7,,4.1,,6.587409566
98,동두천,2013-03-07,9.2,4.5,0.5,4.7,,8.945968664
98,동두천,2013-03-08,8,3.7,,4.5,,7.663498302
98,동두천,2013-03-09,11.8,1.2,,8,,11.12105171
98,동두천,2013-03-10,1.8,-2.1,,7.2,,-0.375654501
98,동두천,2013-03-11,3.8,-5.5,,4,,3.169041297
98,동두천,2013-03-12,6,-2.3,5.5,4.3,,5.494632398
98,동두천,2013-03-13,5.2,1.4,12,6.4,,3.82458584
98,동두천,2013-03-14,3.5,-2.1,,5.3,,2.260203599
98,동두천,2013-03-15,3.7,-3.4,,5.3,,2.488055321
98,동두천,2013-03-16,5.9,-1.7,,4.6,,5.258682878
98,동두천,2013-03-17,6.9,-1.1,2,5.2,,6.167992497
98,동두천,2013-03-18,8,3.1,0.5,6.9,,6.925327775
98,동두천,2013-03-19,7.7,3.5,,4.1,,7.482147517
98,동두천,2013-03-20,1.9,-3.3,1.5,8.2,,-0.565272821
98,동두천,2013-03-21,0.8,-6.2,,4.6,,-0.492363051
98,동두천,2013-03-22,2.4,-2.3,,5.2,,1.048418841
98,동두천,2013-03-23,5.1,-3.2,,4.2,,4.528991987
98,동두천,2013-03-24,5.7,0.1,,5.4,,4.730941498
98,동두천,2013-03-25,3.1,-2.1,,5.6,,1.68732722
98,동두천,2013-03-26,3.9,-3.5,,4.6,,3.003370749
98,동두천,2013-03-27,6.3,-2.9,,5.6,,5.347615186
98,동두천,2013-03-28,6.8,0.8,,5.8,,5.855198457
98,동두천,2013-03-29,5.4,-0.8,,6.5,,4.02476043
98,동두천,2013-03-30,4.4,0.3,,5,,3.402173497
98,동두천,2013-03-31,5.7,-2,,4.9,,4.914998269
98,동두천,2013-04-01,7.7,-0.1,0.5,4.8,,7.215919623
98,동두천,2013-04-02,6.8,2.9,10.5,4,,6.518430485
98,동두천,2013-04-03,7.6,1.2,,5.1,,6.998118158
98,동두천,2013-04-04,11.1,2.3,,3.7,,11.42706299
98,동두천,2013-04-05,13.6,6.2,,4.6,,13.94163457
98,동두천,2013-04-06,6.9,2.3,15.5,4.3,,6.504633725
98,동두천,2013-04-07,5.3,2.2,0.5,5.9,,4.101396829
98,동두천,2013-04-08,7.1,-0.6,1.5,7.8,,5.649063397
98,동두천,2013-04-09,5.7,2.2,1.5,9.2,,3.669172816
98,동두천,2013-04-10,4.4,-1.1,0.1,8.6,,2.273387685
98,동두천,2013-04-11,5.9,2.1,0.3,8.4,,4.092697935
98,동두천,2013-04-12,6.3,-0.9,,7.3,,4.841184729
98,동두천,2013-04-13,11.1,1,,8.7,,10.16756203
98,동두천,2013-04-14,8.3,2.7,3,10,,6.60066982
98,동두천,2013-04-15,6.7,-0.3,,3.8,,6.495687795
98,동두천,2013-04-16,12.5,5.5,,7.1,,12.11241154
98,동두천,2013-04-17,14.5,8,,5.1,,14.83708256
98,동두천,2013-04-18,12.5,7.8,,7.2,,12.09274987
98,동두천,2013-04-19,10,2.9,,4.8,,9.817483008
98,동두천,2013-04-20,6.3,4,6.5,4,,5.960198954
98,동두천,2013-04-21,9.5,4.2,,7,,8.643829253
98,동두천,2013-04-22,11.7,3.5,,5.3,,11.60212421
98,동두천,2013-04-23,10.9,8.4,4,4.3,,10.99352851
98,동두천,2013-04-24,13.2,8.3,0.3,7.5,,12.8532949
98,동두천,2013-04-25,8.6,6.8,8,10,,6.959054881
98,동두천,2013-04-26,10.9,5.1,2.5,8.4,,9.986947114
98,동두천,2013-04-27,11.8,4.8,,7.1,,11.29757238
98,동두천,2013-04-28,14.5,5.6,0.1,5.5,,14.74841967
98,동두천,2013-04-29,14.3,8.7,20,9.6,,13.82200938
98,동두천,2013-04-30,13.4,5.7,,6.6,,13.25633598
98,동두천,2013-05-01,13.6,7.3,,5.1,,13.81460894
98,동두천,2013-05-02,11.7,6.7,11.5,5.3,,11.60212421
98,동두천,2013-05-03,12.9,7.7,0.5,5.5,,12.92068163
98,동두천,2013-05-04,13.7,6.1,,5.9,,13.74644182
98,동두천,2013-05-05,14.5,7.3,,6.8,,14.49346788
98,동두천,2013-05-06,14.8,6.3,,5,,15.20049475
98,동두천,2013-05-07,18.5,9.3,,4.1,,19.56110987
98,동두천,2013-05-08,19.1,10.8,,4.8,,20.1106251
98,동두천,2013-05-09,16.7,11.3,2.5,5.5,,17.26155946
98,동두천,2013-05-10,14.9,11.2,14.5,5.1,,15.29151528
98,동두천,2013-05-11,18.6,11.3,,6,,19.3584271
98,동두천,2013-05-12,18.7,16.2,0.5,7.2,,19.31743278
98,동두천,2013-05-13,20.9,15.5,,5.6,,22.04767903
98,동두천,2013-05-14,18.5,12.9,0,3.6,,19.66524377
98,동두천,2013-05-15,20,15.5,,4.6,,21.15863339
98,동두천,2013-05-16,21.2,12.3,,4.4,,22.53863791
98,동두천,2013-05-17,19.7,11.4,,4.8,,20.78929381
98,동두천,2013-05-18,16.8,13,8.5,3.1,,17.91796526
